status,content
2,K có ảnh nên dùng tạm ảnh này. Tai nghe êm. Lần sau sẽ ủng hộ shop tiếp❤️
2,"Sản phẩm rất xinh đẹp tuyệt vời, tôi không thể trông đợi gì hơn. Cảm ơn nhà cung cấp, nhà sản xuất, cảm ơn người bán hàng, cảm ơn sàn thương mại điện tử, cảm ơn người vận chuyển để tôi có cơ hội dùng sản phẩm tốt như thế này.. . Hàng đóng gói rất đẹp"
0,"Nhận hàng đúng mô tả, tai nghe hơi khó đeo. Đeo thử chưa dc 10 phút nghe tai hơi đau"
2,"Mua hộ nên ko có ảnh shop thông cảm nhưng sản phẩm chất lượng,  đóng gói chắc chắn nghe tốt và ko bị ồn nhé"
2,"Tai nghe nghe ổn, giao hàng nhanh, mua gửi luôn cho người yêu ở xa nên chụp tạm cái trước mình mua của shop. Dùng ổn lắm"
2,Mua hộ cho em nên lấy tạm vid ạ . Giao hàng nhanhhh.
2,Tai nghe rất ổn còn lâu dài thì chưa biết . Nói chung quá oke so với giá tiền
2,OK em làm gì có chuyện gì xảy ra với mục đích gì thì nói thẳng ra thì cũng phải biết cách
2,Kiểu dáng thì đẹp nhưng nói đi phải nói lại có 2 vấn đề. 1 không có hộp . 2 âm nghe thì to đó nhưng ko có Bass nha . nhưng cũng phù hợp giá tiền . tui mua vì thấy nó đẹp chứ kì vọng quá cao. nhưng nếu có hộp nữa tôi vẫn mua😂
2,Bass các thứ oki dây ko dối nên mua nha mng..................
2,Chất lượng sản phẩm tuyệt vời đóng gói sản phẩm đẹp và chắc chắn giao hàng nhanh
2,Quần đẹp. Giao hàng nhanh chóng. Nhận được quà tặng chất luôn. Cảm ơn shop nha. Sẽ quay lại mua tiếp tục.
2,"Tại nghe nghe rất hay , giọng ấm , tai nghe rất bắt tại  và không có vấn đê"
2,Ok ok ok ok ok ok ok ok ok
1,Uki ổn dùng được
0,"Tai nghe em mình kêu nghe chán ý, shop giao hàng cũng lâu nói chung là cũng cảm ơn shop"
2,"sản phẩm oke, hình ảnh mang tính chất nhận xu.............."
2,Tai nghe đẹp đeo êm tai âm thanh sống động rất phù hợp với giá tiền bỏ ra còn được nút tai nghe
2,"Tai nghe chất lượng, giao hàng nhanh, âm lượng rõ to, khá ưng sản phẩm này!"
2,Okkkkkkkkkkkkkkkkk nhé.chấtttttttt lượng
2,"Bền lắm luôn á dùng lâu rồi vẫn chưa hỏng , nên mua luôn cái mới tặng bạn"
2,"Tai nghe ổn, đeo kín tai, âm thanh hay, rõ mà rẻ nữa, đáng đồng tiền lắm nhe mn"
2,gútttttttttttt
2,Bass khủng nhẹ thiết kế gaming độ trễ thấp dây cao su rất chắc nên mua
2,"5 sao cho sự hay ho này, bass đập mạnh mẽ nha, giá rất ok, còn bền bỉ hay không thì thời gian sẽ trả lời, đang nghe đen vâu chillllllllllllllllllllllll"
2,"Tai nghe tốt êm, hình ảnh ko liên quan đến sản phẩm, giá cả hợp lí, sẽ ủng hộ shop nếu có dịp"
2,"Sản phẩm tốt, giao hàng nhanh, video chỉ mang tính chất nhận xu"
2,"Tai nghe ok to rõ giá cũg hợp lí, còn bền hay k thì phải dùg lâu dài mới biết."
2,"Tai nghe chất lượng, âm thanh rất hay, giao hàng nhanh......"
2,"Sản phẩm tốt nha tôi đã dùng rồi,moi người có thể yên tâm mà mua"
2,"Tai nghe khá hay, tốt trong tầm giá, đáng mua lắm nha mọi người"
2,"Đánh giá mang tính chất nhận xu, sản phẩm khá là okelaaaaaaaaaaaaaa"
2,Đóng gói sản phẩm rất đẹp và chắc chắn. Âm thanh sống động. Rất đã tai đối với người nghe
2,"Tai nghe nghe xịn, bền lâu hay ko thì ko biết nhưng thấy khá là oke la lụncucjchc"
2,Tai nghe nghe rất okeee bên người cạch sẽ không nghe thấy gì nghe nhạc hay xem sex nghe rất rõ 5☆
1,Ổn định êm tay
2,"Hình ảnh chỉ mang tính chất nhận xu nhưng mà chất lượng sản phẩm thì rất tuyệt vời nha. Trời ơi tai nghe còn rẻ hơn mình mua ngoài nhưng rất đỉnh, beat bass đã tai luôn còn bền và đẹp xỉu nha"
2,"Sản phẩm đẹp,y hình, chất lượng, đã từng mua của shop 1 lần,nay quay lại mua lần 2. Nên mua nha m.n à mà shop còn tặng thêm nhiều nút tai nghe nữa nha"
1,Danh gia nhan xu. Bên ngoài tam on nhaaaaaaaaaaaaaaaaaaaaaaaaaa
1,"Nghe rất ok.Phần mút nhét hơi to .Shop giao hàng nhanh,hàng  đóng gói cẩn thận."
1,Nói chung ổn tai nghe đôi lúc bị rè vs có tiếng nổ lách tách nhỏ phần chỉnh âm lượng bị xước 1 vết nhưng tổng thể thì hoàn thiện tốt
2,"Hàng ổn, nghe bass khá tốt, đeo hơi đau tai xíu, nói chung ổn so với tầm giá này"
1,"Ổn, có bass, dây chống rối, khó gãy, nhược điểm là đeo vô tai kh vừa kk"
2,Tay nghe sài ổn phù hợp với túi tiền dây ko rối ổn áp phết😁😁😁😁😁😁
